xlsMemberID,MembershipNum,FirstName,LastName,DOB,IsActive,IsArchived,Email,GenderID,SwimClubID,CreatedOn,HouseID,IsSwimmer
1,1001,Anna,Griffin,2005-04-29 00:00:00.000,1,1,est@outlook.couk,2,1,2019-10-15 00:00:00.000,1,1
2,1002,Nicholas,Martin,2009-02-28 00:00:00.000,1,1,vulputate.velit@google.com,1,1,2019-10-15 00:00:00.000,2,1
3,1003,Cadel,Nolan,2007-12-15 00:00:00.000,1,0,et.magnis@outlook.edu,1,1,2019-10-15 00:00:00.000,3,1
4,1004,Eli,Best,2005-12-15 00:00:00.000,1,0,molestie.orci.tincidunt@yahoo.com,1,1,2019-10-15 00:00:00.000,4,1
5,1005,Zach,Strickland,2004-05-27 00:00:00.000,0,1,auctor.nunc@icloud.net,1,1,2019-10-15 00:00:00.000,1,0
6,1006,Monty,Stark,2009-01-09 00:00:00.000,1,0,lacus.vestibulum@outlook.edu,1,1,2019-10-15 00:00:00.000,2,1
7,1007,Logan,Mcdaniel,2008-09-07 00:00:00.000,0,1,ipsum.leo@icloud.com,1,1,2019-10-15 00:00:00.000,3,1
8,1008,Petra,Talley,2014-08-08 00:00:00.000,1,0,eu.nibh.vulputate@aol.edu,2,1,2019-11-21 13:00:00.000,4,1
9,1009,Sebastian,Best,2011-08-18 00:00:00.000,1,0,condimentum.donec@aol.com,1,1,2019-10-15 00:00:00.000,1,1
10,1010,Coco,Campos,2009-09-06 00:00:00.000,1,0,tempor@hotmail.ca,2,1,2019-10-15 00:00:00.000,2,1
11,1011,Heidi,Owens,2007-12-23 00:00:00.000,1,0,cursus@aol.net,2,1,2019-10-15 00:00:00.000,3,1
12,1012,Madison,Glenn,2006-10-28 00:00:00.000,1,0,scelerisque@google.com,2,1,2019-10-15 00:00:00.000,4,1
13,1013,Ella,Meyers,2012-03-24 00:00:00.000,1,0,donec.tempus@icloud.couk,2,1,2019-10-15 00:00:00.000,1,1
14,1014,Telina,Meyer,2010-05-26 00:00:00.000,1,0,mus.proin@outlook.couk,2,1,2019-10-15 00:00:00.000,2,1
15,1015,Bear,Tyson,2013-09-06 00:00:00.000,1,0,morbi@hotmail.couk,1,1,2020-01-30 04:35:00.000,3,1
16,1016,Kate,Guerra,2005-01-25 00:00:00.000,1,0,orci.luctus.et@icloud.net,2,1,2019-10-15 00:00:00.000,4,1
17,1017,Millicent,Ratliff,2008-05-22 00:00:00.000,0,1,vel.arcu@outlook.com,2,1,2019-10-15 00:00:00.000,1,1
18,1018,Jack,Gill,2009-05-22 00:00:00.000,0,1,donec@outlook.com,2,1,2019-10-15 00:00:00.000,2,1
19,1019,Quinn,Weaver,2010-08-07 00:00:00.000,0,1,duis.dignissim.tempor@icloud.net,1,1,2019-10-15 00:00:00.000,3,1
20,1020,Sylvie,Jimenez,2009-03-06 00:00:00.000,0,1,ornare@google.couk,2,1,2019-10-15 00:00:00.000,4,1
21,1021,Basil,Barr,2004-04-15 00:00:00.000,0,1,eleifend@icloud.com,1,1,2019-10-17 18:00:00.000,1,0
22,1022,Edwina,Jordan,2012-09-13 00:00:00.000,1,0,dolor@protonmail.ca,2,1,2019-10-24 18:00:00.000,2,1
23,1023,Hunter,Kennedy,2006-12-22 00:00:00.000,1,0,cursus.diam@hotmail.couk,1,1,2019-10-15 00:00:00.000,3,1
24,1024,Isabelle,Wells,2013-01-21 00:00:00.000,1,0,nunc@icloud.com,2,1,2019-10-15 00:00:00.000,4,1
25,1025,Ruby,Rasmussen,2009-02-19 00:00:00.000,1,0,ligula.eu@aol.edu,2,1,2019-10-15 00:00:00.000,1,1
26,1026,Alex,Vinson,2008-02-29 00:00:00.000,1,0,vulputate.lacus@yahoo.org,1,1,2019-10-15 00:00:00.000,2,1
